有價證券代號,名稱,上市日,產業別
1101,台泥,1962/02/09,水泥工業
1102,亞泥,1962/06/08,水泥工業
1103,嘉泥,1969/11/14,水泥工業
1104,環泥,1971/02/01,水泥工業
1108,幸福,1990/06/06,水泥工業
1109,信大,1991/12/05,水泥工業
1110,東泥,1994/10/22,水泥工業
1201,味全,1962/02/09,食品工業
1203,味王,1964/08/24,食品工業
1210,大成,1978/05/20,食品工業
1213,大飲,1981/04/10,食品工業
1215,卜蜂,1987/07/27,食品工業
1216,統一,1987/12/28,食品工業
1217,愛之味,1989/10/28,食品工業
1218,泰山,1989/11/11,食品工業
1219,福壽,1990/12/01,食品工業
1220,台榮,1991/11/20,食品工業
1225,福懋油,1993/09/27,食品工業
1227,佳格,1994/04/09,食品工業
1229,聯華,1976/07/19,食品工業
1231,聯華食,1995/11/02,食品工業
1232,大統益,1996/02/09,食品工業
1233,天仁,1999/01/20,食品工業
1234,黑松,1999/03/12,食品工業
1235,興泰,2000/09/11,食品工業
1236,宏亞,2001/09/17,食品工業
1256,鮮活果汁-KY,2016/03/17,食品工業
1262,綠悅-KY,2014/01/16,其他業
1301,台塑,1964/07/27,塑膠工業
1303,南亞,1967/11/05,塑膠工業
1304,台聚,1972/05/20,塑膠工業
1305,華夏,1973/03/05,塑膠工業
1307,三芳,1985/11/23,塑膠工業
1308,亞聚,1986/06/20,塑膠工業
1309,台達化,1986/06/27,塑膠工業
1310,台苯,1987/08/06,塑膠工業
1312,國喬,1988/12/21,塑膠工業
1313,聯成,1989/03/27,塑膠工業
1314,中石化,1991/07/12,塑膠工業
1315,達新,1992/05/09,塑膠工業
1316,上曜,1992/10/15,化學工業
1319,東陽,1994/12/12,塑膠工業
1321,大洋,1999/01/26,塑膠工業
1323,永裕,2000/09/11,塑膠工業
1324,地球,2000/09/11,塑膠工業
1325,恆大,2000/09/11,塑膠工業
1326,台化,1984/12/20,塑膠工業
1337,再生-KY,2011/07/01,塑膠工業
1338,廣華-KY,2012/12/19,汽車工業
1339,昭輝,2012/04/24,塑膠工業
1340,勝悅-KY,2013/12/06,塑膠工業
1341,富林-KY,2018/12/24,塑膠工業
1402,遠東新,1967/04/14,紡織纖維
1409,新纖,1973/08/31,紡織纖維
1410,南染,1973/10/18,紡織纖維
1413,宏洲,1975/12/23,紡織纖維
1414,東和,1976/02/02,紡織纖維
1416,廣豐,1976/04/20,紡織纖維
1417,嘉裕,1976/12/28,紡織纖維
1418,東華,1977/02/14,紡織纖維
1419,新紡,1977/03/14,紡織纖維
1423,利華,1979/04/02,紡織纖維
1432,大魯閣,1982/07/26,貿易百貨業
1434,福懋,1985/12/24,紡織纖維
1435,中福,1987/12/28,其他業
1436,華友聯,1988/04/11,建材營造業
1437,勤益控,1988/11/10,其他業
1438,裕豐,1988/12/15,建材營造業
1439,中和,1989/05/22,紡織纖維
1440,南紡,1989/10/03,紡織纖維
1441,大東,1989/10/27,紡織纖維
1442,名軒,1989/11/16,建材營造業
1443,立益,1990/04/21,紡織纖維
1444,力麗,1990/08/08,紡織纖維
1445,大宇,1991/02/05,紡織纖維
1446,宏和,1991/10/15,紡織纖維
1447,力鵬,1992/01/28,紡織纖維
1449,佳和,1992/03/12,紡織纖維
1451,年興,1992/12/21,紡織纖維
1452,宏益,1992/12/28,紡織纖維
1453,大將,1993/04/19,紡織纖維
1454,台富,1993/05/07,紡織纖維
1455,集盛,1993/10/07,紡織纖維
1456,怡華,1993/12/09,紡織纖維
1457,宜進,1994/10/20,紡織纖維
1459,聯發,1994/10/26,紡織纖維
1460,宏遠,1995/04/28,紡織纖維
1463,強盛,1996/12/05,紡織纖維
1464,得力,1997/01/18,紡織纖維
1465,偉全,1997/09/08,紡織纖維
1466,聚隆,1998/04/04,紡織纖維
1467,南緯,1998/12/21,紡織纖維
1468,昶和,1999/01/21,紡織纖維
1470,大統新創,1999/05/21,紡織纖維
1471,首利,2000/03/06,電子零組件業
1472,三洋紡,2000/09/11,紡織纖維
1473,台南,2000/09/11,紡織纖維
1474,弘裕,2000/10/31,紡織纖維
1475,本盟,2000/10/27,紡織纖維
1476,儒鴻,2001/04/18,紡織纖維
1477,聚陽,2003/01/21,紡織纖維
1503,士電,1969/12/15,電機機械
1504,東元,1973/11/05,電機機械
1506,正道,1980/08/11,電機機械
1507,永大,1989/11/09,電機機械
1512,瑞利,1994/01/28,電機機械
1513,中興電,1994/03/08,電機機械
1514,亞力,1994/03/26,電機機械
1515,力山,1995/02/04,電機機械
1516,川飛,1995/04/01,其他業
1517,利奇,1995/11/14,電機機械
1519,華城,1997/04/16,電機機械
1521,大億,1997/10/06,電機機械
1522,堤維西,1997/10/06,電機機械
1524,耿鼎,1998/10/30,電機機械
1525,江申,1999/05/15,電機機械
1526,日馳,2000/03/27,電機機械
1527,鑽全,2000/06/21,電機機械
1528,恩德,2000/09/11,電機機械
1529,樂士,2000/09/11,電機機械
1530,亞崴,2000/09/11,電機機械
1531,高林股,2000/09/11,電機機械
1532,勤美,2016/07/01,電機機械
1533,車王電,2001/04/06,電機機械
1535,中宇,2001/09/17,電機機械
1536,和大,2001/09/17,電機機械
1537,廣隆,2002/01/22,電機機械
1538,正峰新,2002/08/26,電機機械
1539,巨庭,2002/10/29,電機機械
1540,喬福,2002/08/26,電機機械
1541,錩泰,2003/03/19,電機機械
1558,伸興,2014/12/23,電機機械
1560,中砂,2005/01/31,電機機械
1568,倉佑,2014/05/14,電機機械
1582,信錦,2009/12/17,電子零組件業
1583,程泰,2008/01/24,電機機械
1587,吉茂,2018/04/16,電機機械
1589,永冠-KY,2012/04/27,電機機械
1590,亞德客-KY,2010/12/13,電機機械
1592,英瑞-KY,2014/10/16,電機機械
1598,岱宇,2016/09/20,生技醫療業
1603,華電,1968/06/03,電器電纜
1604,聲寶,1970/12/14,電器電纜
1605,華新,1972/11/03,電器電纜
1608,華榮,1988/07/11,電器電纜
1609,大亞,1988/12/12,電器電纜
1611,中電,1990/01/16,電器電纜
1612,宏泰,1993/05/08,電器電纜
1614,三洋電,1997/09/18,電器電纜
1615,大山,2000/03/30,電器電纜
1616,億泰,2000/09/11,電器電纜
1617,榮星,2000/09/11,電器電纜
1618,合機,2000/09/11,電器電纜
1626,艾美特-KY,2013/03/21,電器電纜
1701,中化,1962/02/09,生技醫療業
1702,南僑,1973/05/30,食品工業
1707,葡萄王,1982/12/20,生技醫療業
1708,東鹼,1986/06/16,化學工業
1709,和益,1986/07/03,化學工業
1710,東聯,1987/10/21,化學工業
1711,永光,1988/12/27,化學工業
1712,興農,1989/12/14,化學工業
1713,國化,1990/01/31,化學工業
1714,和桐,1991/08/30,化學工業
1717,長興,1994/03/31,化學工業
1718,中纖,1963/12/02,化學工業
1720,生達,1995/12/12,生技醫療業
1721,三晃,1996/05/16,化學工業
1722,台肥,1998/03/24,化學工業
1723,中碳,1998/11/27,化學工業
1724,台硝,1995/03/30,化學工業
1725,元禎,2000/09/11,化學工業
1726,永記,2000/09/11,化學工業
1727,中華化,2000/09/11,化學工業
1730,花仙子,2001/09/17,化學工業
1731,美吾華,2001/09/17,生技醫療業
1732,毛寶,2001/09/17,化學工業
1733,五鼎,2001/09/17,生技醫療業
1734,杏輝,2002/08/26,生技醫療業
1735,日勝化,2002/08/26,化學工業
1736,喬山,2003/01/09,生技醫療業
1737,臺鹽,2003/11/18,食品工業
1760,寶齡富錦,2018/01/23,生技醫療業
1762,中化生,2010/12/20,生技醫療業
1773,勝一,2009/02/27,化學工業
1776,展宇,2016/05/09,化學工業
1783,和康生,2013/12/20,生技醫療業
1786,科妍,2013/11/12,生技醫療業
1789,神隆,2011/09/29,生技醫療業
1802,台玻,1973/07/20,玻璃陶瓷
1805,寶徠,1989/10/20,建材營造業
1806,冠軍,1992/09/29,玻璃陶瓷
1808,潤隆,1994/10/26,建材營造業
1809,中釉,1996/04/30,玻璃陶瓷
1810,和成,1991/10/14,玻璃陶瓷
1817,凱撒衛,2013/10/24,玻璃陶瓷
1902,台紙,1962/02/09,造紙工業
1903,士紙,1963/12/09,造紙工業
1904,正隆,1971/09/10,造紙工業
1905,華紙,1975/02/07,造紙工業
1906,寶隆,1976/04/26,造紙工業
1907,永豐餘,1977/02/22,造紙工業
1909,榮成,1985/11/19,造紙工業
2002,中鋼,1974/12/26,鋼鐵工業
2006,東和鋼鐵,1988/07/13,鋼鐵工業
2007,燁興,1988/10/04,鋼鐵工業
2008,高興昌,1988/12/28,鋼鐵工業
2009,第一銅,1989/10/20,鋼鐵工業
2010,春源,1989/12/22,鋼鐵工業
2012,春雨,1991/10/17,鋼鐵工業
2013,中鋼構,1992/01/21,鋼鐵工業
2014,中鴻,1992/02/20,鋼鐵工業
2015,豐興,1992/05/25,鋼鐵工業
2017,官田鋼,1992/11/02,鋼鐵工業
2020,美亞,1993/04/27,鋼鐵工業
2022,聚亨,1995/03/27,鋼鐵工業
2023,燁輝,1995/07/28,鋼鐵工業
2024,志聯,1995/12/30,鋼鐵工業
2025,千興,1996/02/08,鋼鐵工業
2027,大成鋼,1996/10/24,鋼鐵工業
2028,威致,1996/12/13,鋼鐵工業
2029,盛餘,1997/01/11,鋼鐵工業
2030,彰源,1998/12/24,鋼鐵工業
2031,新光鋼,2000/09/11,鋼鐵工業
2032,新鋼,2000/09/11,鋼鐵工業
2033,佳大,2000/09/11,鋼鐵工業
2034,允強,2001/09/17,鋼鐵工業
2038,海光,2008/12/30,鋼鐵工業
2049,上銀,2009/06/26,電機機械
2059,川湖,2008/06/25,電子零組件業
2062,橋椿,2007/11/16,其他業
2069,運錩,2016/03/22,鋼鐵工業
2101,南港,1963/11/01,橡膠工業
2102,泰豐,1979/07/16,橡膠工業
2103,台橡,1982/09/25,橡膠工業
2104,國際中橡,1986/07/15,橡膠工業
2105,正新,1987/12/07,橡膠工業
2106,建大,1990/12/20,橡膠工業
2107,厚生,1992/03/03,橡膠工業
2108,南帝,1992/10/27,橡膠工業
2109,華豐,2000/05/08,橡膠工業
2114,鑫永銓,2010/12/29,橡膠工業
2115,六暉-KY,2013/12/25,橡膠工業
2201,裕隆,1976/07/08,汽車工業
2204,中華,1991/03/12,汽車工業
2206,三陽工業,1996/07/29,汽車工業
2207,和泰車,1997/02/25,汽車工業
2208,台船,2008/12/22,航運業
2227,裕日車,2004/12/21,汽車工業
2228,劍麟,2013/11/25,電機機械
2231,為升,2010/11/19,電機機械
2236,百達-KY,2015/06/03,電機機械
2239,英利-KY,2016/01/27,汽車工業
2243,宏旭-KY,2017/09/27,汽車工業
2301,光寶科,1995/11/17,電腦及週邊設備業
2302,麗正,1985/01/15,半導體業
2303,聯電,1985/07/16,半導體業
2305,全友,1988/10/21,電腦及週邊設備業
2308,台達電,1988/12/19,電子零組件業
2312,金寶,1989/11/07,其他電子業
2313,華通,1990/07/24,電子零組件業
2314,台揚,1990/08/08,通信網路業
2316,楠梓電,1991/02/05,電子零組件業
2317,鴻海,1991/06/18,其他電子業
2321,東訊,1991/11/08,通信網路業
2323,中環,1992/02/17,光電業
2324,仁寶,1992/02/18,電腦及週邊設備業
2327,國巨,1993/10/22,電子零組件業
2328,廣宇,1993/11/09,電子零組件業
2329,華泰,1994/04/20,半導體業
2330,台積電,1994/09/05,半導體業
2331,精英,1994/09/21,電腦及週邊設備業
2332,友訊,1994/10/17,通信網路業
2337,旺宏,1995/03/15,半導體業
2338,光罩,1995/04/17,半導體業
2340,光磊,1995/05/02,光電業
2342,茂矽,1995/09/19,半導體業
2344,華邦電,1995/10/18,半導體業
2345,智邦,1995/11/15,通信網路業
2347,聯強,1995/12/13,電子通路業
2348,海悅,1996/01/05,其他業
2349,錸德,1996/04/23,光電業
2351,順德,1996/04/25,半導體業
2352,佳世達,1996/07/22,電腦及週邊設備業
2353,宏碁,1996/09/18,電腦及週邊設備業
2354,鴻準,1996/10/08,其他電子業
2355,敬鵬,1996/10/14,電子零組件業
2356,英業達,1996/11/13,電腦及週邊設備業
2357,華碩,1996/11/14,電腦及週邊設備業
2358,廷鑫,1996/12/18,其他業
2359,所羅門,1996/12/19,其他電子業
2360,致茂,1996/12/21,其他電子業
2362,藍天,1997/04/02,電腦及週邊設備業
2363,矽統,1997/08/01,半導體業
2364,倫飛,1997/08/11,電腦及週邊設備業
2365,昆盈,1997/11/03,電腦及週邊設備業
2367,燿華,1997/12/13,電子零組件業
2368,金像電,1998/03/09,電子零組件業
2369,菱生,1998/04/10,半導體業
2371,大同,1962/02/09,電機機械
2373,震旦行,1991/08/01,其他電子業
2374,佳能,1995/01/16,光電業
2375,智寶,1998/08/29,電子零組件業
2376,技嘉,1998/09/24,電腦及週邊設備業
2377,微星,1998/10/31,電腦及週邊設備業
2379,瑞昱,1998/10/26,半導體業
2380,虹光,1998/12/03,電腦及週邊設備業
2382,廣達,1999/01/08,電腦及週邊設備業
2383,台光電,1998/11/27,電子零組件業
2385,群光,1999/01/05,電子零組件業
2387,精元,1999/01/25,電腦及週邊設備業
2388,威盛,1999/03/05,半導體業
2390,云辰,1999/06/15,其他電子業
2392,正崴,1999/09/20,電子零組件業
2393,億光,1999/11/04,光電業
2395,研華,1999/12/13,電腦及週邊設備業
2397,友通,2000/01/15,電腦及週邊設備業
2399,映泰,1999/12/16,電腦及週邊設備業
2401,凌陽,2000/01/27,半導體業
2402,毅嘉,2000/01/14,電子零組件業
2404,漢唐,2000/03/14,其他電子業
2405,浩鑫,2000/03/17,電腦及週邊設備業
2406,國碩,2000/04/29,光電業
2408,南亞科,2000/08/17,半導體業
2409,友達,2000/09/08,光電業
2412,中華電,2000/10/27,通信網路業
2413,環科,2000/09/11,電子零組件業
2414,精技,2000/09/11,電子通路業
2415,錩新,2000/09/11,電子零組件業
2417,圓剛,2000/09/11,電腦及週邊設備業
2419,仲琦,2000/09/11,通信網路業
2420,新巨,2000/09/11,電子零組件業
2421,建準,2000/09/11,電子零組件業
2423,固緯,2000/09/11,其他電子業
2424,隴華,2000/09/11,電腦及週邊設備業
2425,承啟,2000/09/11,電腦及週邊設備業
2426,鼎元,2000/09/11,光電業
2427,三商電,2000/09/11,資訊服務業
2428,興勤,2000/09/11,電子零組件業
2429,銘旺科,2000/09/11,電子零組件業
2430,燦坤,2000/09/11,電子通路業
2431,聯昌,2000/09/11,電子零組件業
2433,互盛電,2000/09/11,其他電子業
2434,統懋,2000/09/11,半導體業
2436,偉詮電,2000/09/11,半導體業
2438,翔耀,2000/09/11,光電業
2439,美律,2000/09/11,通信網路業
2440,太空梭,2000/11/10,電子零組件業
2441,超豐,2000/10/26,半導體業
2442,新美齊,2000/11/22,電腦及週邊設備業
2443,新利虹,2001/01/03,其他業
2444,兆勁,2000/12/08,通信網路業
2448,晶電,2001/05/25,光電業
2449,京元電子,2001/05/09,半導體業
2450,神腦,2001/05/24,通信網路業
2451,創見,2001/05/03,半導體業
2453,凌群,2001/05/22,資訊服務業
2454,聯發科,2001/07/23,半導體業
2455,全新,2002/01/24,通信網路業
2456,奇力新,2001/09/26,電子零組件業
2457,飛宏,2001/09/17,電子零組件業
2458,義隆,2001/09/17,半導體業
2459,敦吉,2001/09/17,電子通路業
2460,建通,2001/09/17,電子零組件業
2461,光群雷,2001/09/17,其他電子業
2462,良得電,2001/09/17,電子零組件業
2464,盟立,2001/09/17,其他電子業
2465,麗臺,2001/09/19,電腦及週邊設備業
2466,冠西電,2001/09/17,光電業
2467,志聖,2001/09/17,電子零組件業
2468,華經,2001/09/17,資訊服務業
2471,資通,2001/09/17,資訊服務業
2472,立隆電,2001/09/17,電子零組件業
2474,可成,2001/09/17,其他電子業
2475,華映,2001/09/17,光電業
2476,鉅祥,2001/09/17,電子零組件業
2477,美隆電,2001/09/17,其他電子業
2478,大毅,2001/09/17,電子零組件業
2480,敦陽科,2001/09/17,資訊服務業
2481,強茂,2001/09/17,半導體業
2482,連宇,2001/09/17,其他電子業
2483,百容,2001/09/17,電子零組件業
2484,希華,2001/09/17,電子零組件業
2485,兆赫,2001/09/17,通信網路業
2486,一詮,2001/09/19,光電業
2488,漢平,2001/09/17,其他電子業
2489,瑞軒,2001/09/17,光電業
2491,吉祥全,2001/09/17,光電業
2492,華新科,2001/09/17,電子零組件業
2493,揚博,2002/01/23,電子零組件業
2495,普安,2002/03/25,其他電子業
2496,卓越,2002/03/08,通信網路業
2497,怡利電,2002/02/04,其他電子業
2498,宏達電,2002/03/26,通信網路業
2499,東貝,2002/02/19,光電業
2501,國建,1967/10/28,建材營造業
2504,國產,1978/03/14,建材營造業
2505,國揚,1979/11/14,建材營造業
2506,太設,1980/02/02,建材營造業
2509,全坤建,1988/05/20,建材營造業
2511,太子,1991/04/24,建材營造業
2514,龍邦,1992/09/26,其他業
2515,中工,1993/03/02,建材營造業
2516,新建,1993/05/25,建材營造業
2520,冠德,1993/10/27,建材營造業
2524,京城,1994/10/18,建材營造業
2527,宏璟,1995/03/06,建材營造業
2528,皇普,1995/03/10,建材營造業
2530,華建,1995/10/12,建材營造業
2534,宏盛,1996/02/12,建材營造業
2535,達欣工,1996/03/11,建材營造業
2536,宏普,1996/03/14,建材營造業
2537,聯上發,1996/09/06,建材營造業
2538,基泰,1996/11/01,建材營造業
2539,櫻花建,1997/07/16,建材營造業
2540,愛山林,1989/12/26,建材營造業
2542,興富發,1999/05/03,建材營造業
2543,皇昌,1999/10/15,建材營造業
2545,皇翔,2000/09/11,建材營造業
2546,根基,2000/09/11,建材營造業
2547,日勝生,2000/12/22,建材營造業
2548,華固,2002/08/26,建材營造業
2597,潤弘,2010/03/26,建材營造業
2601,益航,1965/11/04,貿易百貨業
2603,長榮,1987/09/21,航運業
2605,新興,1989/12/08,航運業
2606,裕民,1990/12/08,航運業
2607,榮運,1990/12/14,航運業
2608,嘉里大榮,1990/12/20,航運業
2609,陽明,1992/04/20,航運業
2610,華航,1993/02/26,航運業
2611,志信,1993/10/28,航運業
2612,中航,1994/10/20,航運業
2613,中櫃,1995/01/20,航運業
2614,東森,1995/09/23,貿易百貨業
2615,萬海,1996/05/16,航運業
2616,山隆,1997/11/08,油電燃氣業
2617,台航,1998/06/24,航運業
2618,長榮航,2001/09/17,航運業
2630,亞航,2018/02/22,航運業
2633,台灣高鐵,2016/10/27,航運業
2634,漢翔,2014/08/25,航運業
2636,台驊投控,2016/12/22,航運業
2637,慧洋-KY,2010/12/01,航運業
2642,宅配通,2013/12/12,航運業
2701,萬企,1965/03/22,觀光事業
2702,華園,1965/02/14,觀光事業
2704,國賓,1982/11/10,觀光事業
2705,六福,1988/12/24,觀光事業
2706,第一店,1991/06/25,觀光事業
2707,晶華,1998/03/09,觀光事業
2712,遠雄來,2013/12/03,觀光事業
2722,夏都,2012/03/14,觀光事業
2723,美食-KY,2010/11/22,觀光事業
2727,王品,2012/03/06,觀光事業
2731,雄獅,2013/09/24,觀光事業
2739,寒舍,2016/05/19,觀光事業
2748,雲品,2016/11/23,觀光事業
2801,彰銀,1962/02/15,金融保險業
2809,京城銀,1983/07/20,金融保險業
2812,台中銀,1984/05/15,金融保險業
2816,旺旺保,1992/05/05,金融保險業
2820,華票,1994/10/26,金融保險業
2823,中壽,1995/02/08,金融保險業
2832,台產,1997/09/30,金融保險業
2834,臺企銀,1998/01/03,金融保險業
2836,高雄銀,1998/05/18,金融保險業
2838,聯邦銀,1998/06/29,金融保險業
2841,台開,1999/01/08,建材營造業
2845,遠東銀,1998/11/27,金融保險業
